Report #3 for 10000 inserts.
Iteration #138. Elapsed time 144 milliseconds.
Iteration #139. Elapsed time 149 milliseconds.
Iteration #140. Elapsed time 153 milliseconds.
Iteration #141. Elapsed time 149 milliseconds.
Iteration #142. Elapsed time 134 milliseconds.
Iteration #143. Elapsed time 161 milliseconds.
Iteration #144. Elapsed time 136 milliseconds.
Iteration #145. Elapsed time 146 milliseconds.
Iteration #146. Elapsed time 142 milliseconds.
Iteration #147. Elapsed time 152 milliseconds.
Iteration #148. Elapsed time 143 milliseconds.
Iteration #149. Elapsed time 149 milliseconds.
Iteration #150. Elapsed time 151 milliseconds.
Iteration #151. Elapsed time 144 milliseconds.
Iteration #152. Elapsed time 142 milliseconds.
Iteration #153. Elapsed time 155 milliseconds.
Iteration #154. Elapsed time 151 milliseconds.
Iteration #155. Elapsed time 145 milliseconds.
Iteration #156. Elapsed time 134 milliseconds.
Iteration #157. Elapsed time 156 milliseconds.
Iteration #158. Elapsed time 141 milliseconds.
Iteration #159. Elapsed time 149 milliseconds.
Iteration #160. Elapsed time 146 milliseconds.
Iteration #161. Elapsed time 154 milliseconds.
Iteration #162. Elapsed time 148 milliseconds.
Iteration #163. Elapsed time 143 milliseconds.
Iteration #164. Elapsed time 142 milliseconds.
Iteration #165. Elapsed time 144 milliseconds.
Iteration #166. Elapsed time 150 milliseconds.
Iteration #167. Elapsed time 136 milliseconds.
Iteration #168. Elapsed time 156 milliseconds.
Iteration #169. Elapsed time 144 milliseconds.
Iteration #170. Elapsed time 147 milliseconds.
Iteration #171. Elapsed time 147 milliseconds.
Iteration #172. Elapsed time 143 milliseconds.
Iteration #173. Elapsed time 128 milliseconds.
Iteration #174. Elapsed time 143 milliseconds.
Iteration #175. Elapsed time 152 milliseconds.
Iteration #176. Elapsed time 135 milliseconds.
Iteration #177. Elapsed time 142 milliseconds.
Iteration #178. Elapsed time 154 milliseconds.
Iteration #179. Elapsed time 141 milliseconds.
Iteration #180. Elapsed time 161 milliseconds.
Iteration #181. Elapsed time 150 milliseconds.
Iteration #182. Elapsed time 148 milliseconds.
Iteration #183. Elapsed time 144 milliseconds.
Iteration #184. Elapsed time 141 milliseconds.
Iteration #185. Elapsed time 156 milliseconds.
Iteration #186. Elapsed time 131 milliseconds.
Iteration #187. Elapsed time 142 milliseconds.
Iteration #188. Elapsed time 153 milliseconds.
Iteration #189. Elapsed time 144 milliseconds.
Iteration #190. Elapsed time 149 milliseconds.
Iteration #191. Elapsed time 151 milliseconds.
Iteration #192. Elapsed time 149 milliseconds.
Iteration #193. Elapsed time 146 milliseconds.
Iteration #194. Elapsed time 147 milliseconds.
Iteration #195. Elapsed time 150 milliseconds.
Iteration #196. Elapsed time 137 milliseconds.
Iteration #197. Elapsed time 143 milliseconds.
Iteration #198. Elapsed time 145 milliseconds.
Iteration #199. Elapsed time 150 milliseconds.
Iteration #200. Elapsed time 148 milliseconds.
Iteration #201. Elapsed time 147 milliseconds.
Iteration #202. Elapsed time 157 milliseconds.
Iteration #203. Elapsed time 137 milliseconds.
Iteration #204. Elapsed time 160 milliseconds.
Iteration #205. Elapsed time 152 milliseconds.
Iteration #206. Elapsed time 146 milliseconds.
Iteration #207. Elapsed time 141 milliseconds.
Iteration #208. Elapsed time 149 milliseconds.
Iteration #209. Elapsed time 154 milliseconds.
Iteration #210. Elapsed time 171 milliseconds.
Iteration #211. Elapsed time 149 milliseconds.
Iteration #212. Elapsed time 145 milliseconds.
Iteration #213. Elapsed time 156 milliseconds.
Iteration #214. Elapsed time 144 milliseconds.
Iteration #215. Elapsed time 165 milliseconds.
Iteration #216. Elapsed time 137 milliseconds.
Iteration #217. Elapsed time 158 milliseconds.
Iteration #218. Elapsed time 154 milliseconds.
Iteration #219. Elapsed time 154 milliseconds.
Iteration #220. Elapsed time 151 milliseconds.
Iteration #221. Elapsed time 154 milliseconds.
Iteration #222. Elapsed time 155 milliseconds.
Iteration #223. Elapsed time 146 milliseconds.
Iteration #224. Elapsed time 157 milliseconds.
Iteration #225. Elapsed time 160 milliseconds.
Iteration #226. Elapsed time 154 milliseconds.
Iteration #227. Elapsed time 147 milliseconds.
Iteration #228. Elapsed time 169 milliseconds.
Iteration #229. Elapsed time 151 milliseconds.
Iteration #230. Elapsed time 152 milliseconds.
Iteration #231. Elapsed time 142 milliseconds.
Iteration #232. Elapsed time 153 milliseconds.
Iteration #233. Elapsed time 143 milliseconds.
Iteration #234. Elapsed time 163 milliseconds.
Iteration #235. Elapsed time 160 milliseconds.
Iteration #236. Elapsed time 154 milliseconds.
Iteration #237. Elapsed time 183 milliseconds.
Iteration #238. Elapsed time 145 milliseconds.
Iteration #239. Elapsed time 149 milliseconds.
Iteration #240. Elapsed time 171 milliseconds.
Iteration #241. Elapsed time 154 milliseconds.
Iteration #242. Elapsed time 159 milliseconds.
Iteration #243. Elapsed time 157 milliseconds.
Iteration #244. Elapsed time 158 milliseconds.
Iteration #245. Elapsed time 145 milliseconds.
Iteration #246. Elapsed time 157 milliseconds.
Iteration #247. Elapsed time 167 milliseconds.
Iteration #248. Elapsed time 158 milliseconds.
Iteration #249. Elapsed time 157 milliseconds.
Iteration #250. Elapsed time 148 milliseconds.
Iteration #251. Elapsed time 163 milliseconds.
Iteration #252. Elapsed time 150 milliseconds.
Iteration #253. Elapsed time 164 milliseconds.
Iteration #254. Elapsed time 168 milliseconds.
Iteration #255. Elapsed time 143 milliseconds.
Iteration #256. Elapsed time 169 milliseconds.
Iteration #257. Elapsed time 160 milliseconds.
Iteration #258. Elapsed time 148 milliseconds.
Iteration #259. Elapsed time 169 milliseconds.
Iteration #260. Elapsed time 156 milliseconds.
Iteration #261. Elapsed time 159 milliseconds.
Iteration #262. Elapsed time 158 milliseconds.
Iteration #263. Elapsed time 159 milliseconds.
Iteration #264. Elapsed time 165 milliseconds.
Iteration #265. Elapsed time 151 milliseconds.
Iteration #266. Elapsed time 172 milliseconds.
Iteration #267. Elapsed time 170 milliseconds.
Iteration #268. Elapsed time 182 milliseconds.
Iteration #269. Elapsed time 157 milliseconds.
Iteration #270. Elapsed time 154 milliseconds.
Iteration #271. Elapsed time 168 milliseconds.
Iteration #272. Elapsed time 165 milliseconds.
Iteration #273. Elapsed time 158 milliseconds.
Iteration #274. Elapsed time 157 milliseconds.
Iteration #275. Elapsed time 167 milliseconds.
Iteration #276. Elapsed time 164 milliseconds.
Iteration #277. Elapsed time 162 milliseconds.
Iteration #278. Elapsed time 156 milliseconds.
Iteration #279. Elapsed time 172 milliseconds.
Iteration #280. Elapsed time 155 milliseconds.
Iteration #281. Elapsed time 173 milliseconds.
Iteration #282. Elapsed time 177 milliseconds.
Iteration #283. Elapsed time 213 milliseconds.
Iteration #284. Elapsed time 178 milliseconds.
Iteration #285. Elapsed time 166 milliseconds.
Iteration #286. Elapsed time 164 milliseconds.
Iteration #287. Elapsed time 161 milliseconds.
Iteration #288. Elapsed time 166 milliseconds.
Iteration #289. Elapsed time 149 milliseconds.
Iteration #290. Elapsed time 175 milliseconds.
Iteration #291. Elapsed time 173 milliseconds.
Iteration #292. Elapsed time 167 milliseconds.
Iteration #293. Elapsed time 162 milliseconds.
Iteration #294. Elapsed time 165 milliseconds.
Iteration #295. Elapsed time 172 milliseconds.
Iteration #296. Elapsed time 164 milliseconds.
Iteration #297. Elapsed time 168 milliseconds.
Iteration #298. Elapsed time 168 milliseconds.
Iteration #299. Elapsed time 173 milliseconds.
Iteration #300. Elapsed time 176 milliseconds.
Iteration #301. Elapsed time 167 milliseconds.
Iteration #302. Elapsed time 170 milliseconds.
Iteration #303. Elapsed time 171 milliseconds.
Iteration #304. Elapsed time 170 milliseconds.
Iteration #305. Elapsed time 157 milliseconds.
Iteration #306. Elapsed time 173 milliseconds.
Iteration #307. Elapsed time 172 milliseconds.
Iteration #308. Elapsed time 171 milliseconds.
Iteration #309. Elapsed time 164 milliseconds.
Iteration #310. Elapsed time 172 milliseconds.
Iteration #311. Elapsed time 157 milliseconds.
Iteration #312. Elapsed time 164 milliseconds.
Iteration #313. Elapsed time 185 milliseconds.
Iteration #314. Elapsed time 156 milliseconds.
Iteration #315. Elapsed time 174 milliseconds.
Iteration #316. Elapsed time 174 milliseconds.
Iteration #317. Elapsed time 175 milliseconds.
Iteration #318. Elapsed time 159 milliseconds.
Iteration #319. Elapsed time 184 milliseconds.
Iteration #320. Elapsed time 169 milliseconds.
Iteration #321. Elapsed time 171 milliseconds.
Iteration #322. Elapsed time 172 milliseconds.
Iteration #323. Elapsed time 170 milliseconds.
Iteration #324. Elapsed time 159 milliseconds.
Iteration #325. Elapsed time 184 milliseconds.
Iteration #326. Elapsed time 165 milliseconds.
Iteration #327. Elapsed time 188 milliseconds.
Iteration #328. Elapsed time 178 milliseconds.
Iteration #329. Elapsed time 172 milliseconds.
Iteration #330. Elapsed time 171 milliseconds.
Iteration #331. Elapsed time 174 milliseconds.
Iteration #332. Elapsed time 173 milliseconds.
Iteration #333. Elapsed time 172 milliseconds.
Iteration #334. Elapsed time 173 milliseconds.
Iteration #335. Elapsed time 174 milliseconds.
Iteration #336. Elapsed time 171 milliseconds.
Iteration #337. Elapsed time 176 milliseconds.
Iteration #338. Elapsed time 179 milliseconds.
Iteration #339. Elapsed time 177 milliseconds.
Iteration #340. Elapsed time 164 milliseconds.
Iteration #341. Elapsed time 176 milliseconds.
Iteration #342. Elapsed time 188 milliseconds.
Iteration #343. Elapsed time 176 milliseconds.
Iteration #344. Elapsed time 173 milliseconds.
Iteration #345. Elapsed time 170 milliseconds.
Iteration #346. Elapsed time 181 milliseconds.
Iteration #347. Elapsed time 178 milliseconds.
Iteration #348. Elapsed time 167 milliseconds.
Iteration #349. Elapsed time 187 milliseconds.
Iteration #350. Elapsed time 174 milliseconds.
Iteration #351. Elapsed time 183 milliseconds.
Iteration #352. Elapsed time 176 milliseconds.
Iteration #353. Elapsed time 176 milliseconds.
Iteration #354. Elapsed time 165 milliseconds.
Iteration #355. Elapsed time 187 milliseconds.
Iteration #356. Elapsed time 207 milliseconds.
Iteration #357. Elapsed time 165 milliseconds.
Iteration #358. Elapsed time 190 milliseconds.
Iteration #359. Elapsed time 179 milliseconds.
Iteration #360. Elapsed time 172 milliseconds.
Iteration #361. Elapsed time 187 milliseconds.
Iteration #362. Elapsed time 178 milliseconds.
Iteration #363. Elapsed time 180 milliseconds.
Iteration #364. Elapsed time 184 milliseconds.
Iteration #365. Elapsed time 178 milliseconds.
_______________________End________________________
Average time: 163
Iteration amount: 366
TPS: 0
