Report #1 for 10000 inserts.
Iteration #159. Elapsed time -246seconds.
Iteration #160. Elapsed time 750seconds.
Iteration #161. Elapsed time -247seconds.
Iteration #162. Elapsed time -245seconds.
Iteration #163. Elapsed time -246seconds.
Iteration #164. Elapsed time 751seconds.
Iteration #165. Elapsed time -248seconds.
Iteration #166. Elapsed time -244seconds.
Iteration #167. Elapsed time -245seconds.
Iteration #168. Elapsed time 754seconds.
Iteration #169. Elapsed time -250seconds.
Iteration #170. Elapsed time -243seconds.
Iteration #171. Elapsed time -251seconds.
Iteration #172. Elapsed time 754seconds.
Iteration #173. Elapsed time -248seconds.
Iteration #174. Elapsed time -244seconds.
Iteration #175. Elapsed time -244seconds.
Iteration #176. Elapsed time 751seconds.
Iteration #177. Elapsed time -251seconds.
Iteration #178. Elapsed time -246seconds.
Iteration #179. Elapsed time -246seconds.
Iteration #180. Elapsed time 733seconds.
Iteration #181. Elapsed time -315seconds.
Iteration #182. Elapsed time -317seconds.
Iteration #183. Elapsed time 734seconds.
Iteration #184. Elapsed time -254seconds.
Iteration #185. Elapsed time -249seconds.
Iteration #186. Elapsed time -249seconds.
Iteration #187. Elapsed time 750seconds.
Iteration #188. Elapsed time -253seconds.
Iteration #189. Elapsed time -249seconds.
Iteration #190. Elapsed time -248seconds.
Iteration #191. Elapsed time 748seconds.
Iteration #192. Elapsed time -251seconds.
Iteration #193. Elapsed time -249seconds.
Iteration #194. Elapsed time -251seconds.
Iteration #195. Elapsed time 751seconds.
Iteration #196. Elapsed time -249seconds.
Iteration #197. Elapsed time -254seconds.
Iteration #198. Elapsed time -249seconds.
Iteration #199. Elapsed time 749seconds.
Iteration #200. Elapsed time -252seconds.
Iteration #201. Elapsed time -250seconds.
Iteration #202. Elapsed time -250seconds.
Iteration #203. Elapsed time 749seconds.
Iteration #204. Elapsed time -246seconds.
Iteration #205. Elapsed time -251seconds.
Iteration #206. Elapsed time -246seconds.
Iteration #207. Elapsed time 748seconds.
Iteration #208. Elapsed time -255seconds.
Iteration #209. Elapsed time -247seconds.
Iteration #210. Elapsed time -255seconds.
Iteration #211. Elapsed time 718seconds.
Iteration #212. Elapsed time -244seconds.
Iteration #213. Elapsed time -248seconds.
Iteration #214. Elapsed time -250seconds.
Iteration #215. Elapsed time 751seconds.
Iteration #216. Elapsed time -249seconds.
Iteration #217. Elapsed time -246seconds.
Iteration #218. Elapsed time -300seconds.
Iteration #219. Elapsed time 743seconds.
_______________________End________________________
Average time: 0
Iteration amount: 220
TPS: 0
